	manure.pig.mean	manure.beef.mean	manure.mean	soil.pig.mean	soil.beef.mean	soil.mean	pig.mean	beef.mean	combined.mean	manure_soil.mean.diff	pig_beef.mean.diff
gb|L42544|+|0-1956|ARO:3000193|tetT	5183.666667	1795	6978.666667	0.3333333333	1.333333333	1.666666667	5184	1796.333333	6980.333333	6977	3387.666667
gb|AM180355|+|600033-601953|ARO:3000186|tetM	4040.333333	1914	5954.333333	0	0.6666666667	0.6666666667	4040.333333	1914.666667	5955	5953.666667	2125.666667
gb|Z21523|+|0-1974|ARO:3000191|tetQ	3142.333333	1167.333333	4309.666667	0.3333333333	0	0.3333333333	3142.666667	1167.333333	4310	4309.333333	1975.333333
gb|AJ514254|+|0-1923|ARO:3000197|tet36	3100.666667	2379.666667	5480.333333	0	0.3333333333	0.3333333333	3100.666667	2380	5480.666667	5480	720.6666667
gb|FN594949|+|25244-27167|ARO:3000556|tet44	2635.333333	279.6666667	2915	1.666666667	8.333333333	10	2637	288	2925	2905	2349
gb|JX560992|+|11387-12872|ARO:3003206|lsaE	2442.666667	536.3333333	2979	2	2	4	2444.666667	538.3333333	2983	2975	1906.333333
gb|EU434751|+|658-2578|ARO:3000194|tetW	1545.666667	654	2199.666667	0.3333333333	0.6666666667	1	1546	654.6666667	2200.666667	2198.666667	891.3333333
gb|KC688833|+|0-804|ARO:3002836|lnuB	1144	255	1399	0	0.3333333333	0.3333333333	1144	255.3333333	1399.333333	1398.666667	888.6666667
gb|L20800|+|1062-2325|ARO:3000180|tetA(P)	1093.666667	218.6666667	1312.333333	1.333333333	11.33333333	12.66666667	1095	230	1325	1299.666667	865
gb|AF242872|+|2131-2878|ARO:3000375|ErmB	1003.333333	2	1005.333333	0	0	0	1003.333333	2	1005.333333	1005.333333	1001.333333
gb|FN594949|+|27481-28339|ARO:3002629|ANT(6)-Ib	923	31.33333333	954.3333333	0	4.666666667	4.666666667	923	36	959	949.6666667	887
gb|NC_013342.1|-|26737-27499|ARO:3003905|ANT(4')-Ib	816.3333333	20	836.3333333	0	3	3	816.3333333	23	839.3333333	833.3333333	793.3333333
gb|CP004067|+|52914-53709|ARO:3002647|APH(3')-IIIa	792.3333333	7.333333333	799.6666667	0	0	0	792.3333333	7.333333333	799.6666667	799.6666667	785
gb|KX470419.1|+|3811-4615|ARO:3004085|lnuG	694	199.3333333	893.3333333	0	0.6666666667	0.6666666667	694	200	894	892.6666667	494
gb|M18896.2|+|206-2126|ARO:3000190|tetO	693.6666667	133	826.6666667	1	2.333333333	3.333333333	694.6666667	135.3333333	830	823.3333333	559.3333333
gb|Y15510|+|0-1203|ARO:3000175|tet(H)	707	78	785	0	0	0	707	78	785	785	629
gb|KU736867.1|+|19653-21573|ARO:3004442|tet(W/N/W)	633.6666667	393	1026.666667	0	0.3333333333	0.3333333333	633.6666667	393.3333333	1027	1026.333333	240.3333333
gb|JQ740052|+|2108-3329|ARO:3000567|tet(40)	637	16.66666667	653.6666667	0	0.6666666667	0.6666666667	637	17.33333333	654.3333333	653	619.6666667
gb|NC_023287|-|60996-61860|ARO:3002626|ANT(6)-Ia	602.3333333	342.6666667	945	0.3333333333	1.333333333	1.666666667	602.6666667	344	946.6666667	943.3333333	258.6666667
